# HIP	RA degrees (ICRS)	Dec degrees	V magnitude
14954	48.1935	-1.1961	5.07
15004	48.3495	48.1770	5.93
15110	48.7254	21.0444	4.87
15154	48.8352	30.5567	5.61
15192	48.9499	57.1406	5.79
15197	48.9584	-8.8197	4.8
15201	48.9903	-77.3885	5.51
15219	49.0508	50.9377	5.04
15241	49.1466	32.1840	5.98
15305	49.3608	-47.7517	5.84
15330	49.4423	-62.5753	5.53
15334	49.4406	39.2834	5.97
15338	49.4473	44.0250	5.49
15357	49.5108	-28.7971	5.93
15371	49.5534	-62.5064	5.24
15382	49.5921	-22.5111	4.86
15383	49.5934	-0.9303	5.62
15404	49.6573	50.2222	5.16
15411	49.6715	-18.5598	5.72
15416	49.6826	34.2227	4.85
15444	49.7818	50.0950	5.05
15457	49.8404	3.3702	4.84
15474	49.8792	-21.7579	3.7
15479	49.8954	-24.1229	5.63
15510	49.9819	-43.0698	4.26
15514	49.9825	27.0711	5.91
15520	49.9970	65.6523	4.74
15547	50.0823	77.7347	5.44
15549	50.0848	29.0485	4.47
15619	50.2783	3.6756	5.7
15627	50.3068	21.1471	5.27
15643	50.3500	-23.6351	5.5
15648	50.3607	43.3297	4.96
15669	50.4689	49.0709	5.94
15696	50.5496	27.6076	5.55
15737	50.6885	20.7421	5.1
15770	50.8050	49.2133	5.32
15861	51.0770	24.7241	5.5
15863	51.0807	49.8612	1.79
15876	51.1238	33.5360	5.78
15890	51.1690	64.5860	5.13
15900	51.2033	9.0289	3.61
15968	51.4011	-69.3364	5.96
16029	51.5939	-27.3175	5.93
16083	51.7923	9.7327	3.73
16112	51.8893	-35.6813	5.71
16142	52.0039	-11.2866	5.74
16147	52.0128	49.0629	4.99
16168	52.0862	33.8076	5.72
16210	52.2180	49.8484	5.58
16228	52.2672	59.9403	4.21
16244	52.3419	49.5089	4.67
16245	52.3445	-62.9375	4.71
16263	52.4001	-12.6747	5.57
16281	52.4781	58.8787	4.55
16285	52.4798	-42.6343	5.76
16290	52.4954	-78.3518	5.68
16292	52.5008	55.4518	5.09
16322	52.6020	11.3364	5.14
16335	52.6437	47.9952	4.36
16339	52.6540	-47.3751	5.98
16340	52.6540	48.1036	5.82
16341	52.6544	-5.0751	4.74
16358	52.6892	6.1887	5.93
16368	52.7154	-66.4897	5.81
16369	52.7182	12.9367	4.14
16470	53.0358	48.0235	5.47
16489	53.0839	84.9110	5.62
16499	53.1094	46.0569	5.3
16509	53.1450	-50.3786	5.67
16511	53.1498	9.3734	5.76
16518	53.1667	35.4617	5.91
16537	53.2327	-9.4583	3.72
16591	53.3960	39.8995	5.79
16599	53.4127	54.9749	5.98
16611	53.4470	-21.6329	4.26
16664	53.6109	24.4644	5.95
16780	53.9903	-11.1938	5.56
16803	54.0726	-17.4671	5.24
16826	54.1224	48.1926	4.32
16846	54.1970	0.5878	5.82
16852	54.2183	0.4017	4.29
16870	54.2737	-40.2745	4.57
16989	54.6219	-7.3919	5.86
17027	54.7547	-5.6262	5.97
17103	54.9630	3.0569	5.55
17167	55.1597	-5.2107	5.53
17203	55.2827	37.5802	5.55
17296	55.5389	63.2168	5.06
17304	55.5621	-31.9384	4.99
17309	55.5790	19.7003	5.68
17313	55.5944	33.9650	4.97
17342	55.6781	59.9694	5.74
17351	55.7086	-37.3135	4.59
17358	55.7313	47.7876	3.01
17378	55.8121	-9.7634	3.52
17395	55.8910	-10.4857	5.59
17440	56.0499	-64.8069	3.84
17448	56.0797	32.2882	3.84
17457	56.1271	-1.1631	5.24
17460	56.1310	36.4601	5.6
17489	56.2009	24.2895	5.45
17499	56.2189	24.1133	3.72
17506	56.2354	-0.2967	5.56
17527	56.2906	24.8393	5.66
17529	56.2985	42.5785	3.77
17531	56.3021	24.4673	4.3
17534	56.3162	-47.3595	5.72
17563	56.4185	6.0500	5.34
17573	56.4567	24.3677	3.87
17579	56.4770	24.5545	5.76
17584	56.4969	45.6819	5.66
17585	56.5039	67.2016	5.79
